名稱,國家城市,服務性質,電話,負責人
真耶穌教會隆昌教會,台灣 - 台東縣,教會,089-541-126,
真耶穌教會都蘭教會,台灣 - 台東縣,教會,089-531-153,
真耶穌教會重安教會,台灣 - 台東縣,教會,089-871-397,
真耶穌教會美山教會,台灣 - 台東縣,教會,089-87-1041,
真耶穌教會三仙教會,台灣 - 台東縣,教會,089-851-414,
真耶穌教會成功教會,台灣 - 台東縣,教會,089-851-657,
真耶穌教會八邊教會,台灣 - 台東縣,教會,089-85-2045,
真耶穌教會和平教會,台灣 - 台東縣,教會,089-851-391,
真耶穌教會月美教會,台灣 - 台東縣,教會,089-81-0782,
生命泉宣教中心,台灣 - 台東縣,教會,0935-654-789,蔡新民
真耶穌教會美蘭教會,台灣 - 台東縣,教會,089-891-642,
真耶穌教會興昌教會,台灣 - 台東縣,教會,089-531-845,
真耶穌教會漁橋教會,台灣 - 台東縣,教會,089-531-494,
真耶穌教會忠孝教會,台灣 - 台東縣,教會,089-87-1613,
真耶穌教會芝田教會,台灣 - 台東縣,教會,089-852-767,
真耶穌教會高台教會,台灣 - 台東縣,教會,089-852-595,
真耶穌教會忠仁教會,台灣 - 台東縣,教會,089-852-052,
真耶穌教會忠智教會,台灣 - 台東縣,教會,089-851-758,
真耶穌教會嘉平橋教會,台灣 - 台東縣,教會,089-841-149,
台灣基督長老教會偕叡廉紀念教會,台灣 - 新北市,教會,02-2636-4022、0911-836-181,黃明中 牧師
真耶穌教會小馬教會,台灣 - 台東縣,教會,089-896-197,
基督復臨安息日會都歷佈道所,台灣 - 台東縣,教會,089-511-262,尤安惠
真耶穌教會大俱來教會,台灣 - 台東縣,教會,089-88-1439,
真耶穌教會真柄教會,台灣 - 台東縣,教會,089-831-267,
真耶穌教會田組教會,台灣 - 台東縣,教會,089-832-326,
蒙恩宣教中心蒙恩宣教站,台灣 - 台東縣,教會,0912-998-391,陳長泉
真耶穌教會華源教會,台灣 - 台東縣,教會,089-511-654,
真耶穌教會良溪教會,台灣 - 台東縣,教會,089-761-571,
真耶穌教會鹽濱教會,台灣 - 台東縣,教會,089-84-1261,
真耶穌教會豐田教會,台灣 - 台東縣,教會,089-841-474,
真耶穌教會豐泉教會,台灣 - 台東縣,教會,089-841-516,
基督復臨安息日會和平教會,台灣 - 台東縣,教會,089-851-262,吳一群
真耶穌教會南溪教會,台灣 - 台東縣,教會,089-881-495,
真耶穌教會三間教會,台灣 - 台東縣,教會,089-88-1307,
真耶穌教會忠勇教會,台灣 - 台東縣,教會,089-832-400,
真耶穌教會竹湖教會,台灣 - 台東縣,教會,089-831-837,
中央教會台東會堂(一),台灣 - 台東縣,教會,,
真耶穌教會太麻里教會,台灣 - 台東縣,教會,089-781-244,
真耶穌教會美和教會,台灣 - 台東縣,教會,089-513-233,
基督復臨安息日會正興教會,台灣 - 台東縣,教會,089-783-735,朱力默多
基督復臨安息日會賓茂教會,台灣 - 台東縣,教會,089-772-053,林潔茹
媒蒂亞之家,台灣 - 新北市,宣教福音,0919-966-369,周正達 牧師
蒙恩宣教中心台坂教會,台灣 - 台東縣,教會,089-76-1525,林望琪
台灣信義會花蓮真理堂,台灣 - 花蓮縣,教會,03-823-7495,彭智永
花蓮基督教活水教會,台灣 - 花蓮縣,教會,03-856-5847,余迦勒
真耶穌教會花蓮教會,台灣 - 花蓮縣,教會,03-833-9258,
基督復臨安息日會花蓮佈道所,台灣 - 花蓮縣,教會,03-834-6366,萬皓然
中華基督教協同會花蓮泉源教會,台灣 - 花蓮縣,教會,03-823-6081,徐愛妮 牧師
真耶穌教會金崙教會,台灣 - 台東縣,教會,089-771-297,
中華循理會嘉蘭教會,台灣 - 台東縣,教會,089-751-479,
基督復臨安息日會嘉蘭教會,台灣 - 台東縣,教會,089-781-081,朱力默多
基督復臨安息日會壢坵佈道所,台灣 - 台東縣,教會,089-772-053,林潔茹
蒙恩宣教中心阿露伊教會,台灣 - 台東縣,教會,089-70-2239,趙珍君
蒙恩宣教中心南田教會,台灣 - 台東縣,教會,089-702-152,阮豐娘
中華基督教伯特利會慈恩教會,台灣 - 花蓮縣,教會,03-833-9065,彭孟緝
花蓮磐石基督教會,台灣 - 花蓮縣,教會,0934-480-842,蔡德生 傳道
真耶穌教會德安教會,台灣 - 花蓮縣,教會,03-832-7752,
基督教頌恩教會,台灣 - 花蓮縣,教會,03-836-0263,陳錦法
真耶穌教會北埔教會,台灣 - 花蓮縣,教會,03-826-2601,
真耶穌教會崇德教會,台灣 - 花蓮縣,教會,03-862-1390,
真耶穌教會三棧教會,台灣 - 花蓮縣,教會,03-826-3044,
真耶穌教會銅光教會,台灣 - 花蓮縣,教會,03-864-1413,
真耶穌教會南華教會,台灣 - 花蓮縣,教會,03-853-0271,
基督復臨安息日會月眉教會,台灣 - 花蓮縣,教會,03-853-4579,林清海
真耶穌教會芳寮教會,台灣 - 花蓮縣,教會,03-860-1231,
真耶穌教會月眉教會,台灣 - 花蓮縣,教會,03-863-1019,
真耶穌教會平和教會,台灣 - 花蓮縣,教會,03-866-2640,
真耶穌教會南富教會,台灣 - 花蓮縣,教會,03-870-3571,
花蓮恩典教會,台灣 - 花蓮縣,教會,03-826-2809,
真耶穌教會克來寶教會,台灣 - 花蓮縣,教會,03-868-1263,
真耶穌教會富世教會,台灣 - 花蓮縣,教會,03-861-2601,
真耶穌教會銅門教會,台灣 - 花蓮縣,教會,03-864-1620,
中華循理會花蓮慈雲教會,台灣 - 花蓮縣,教會,03-853-3860,程霖蒼 傳道
基督復臨安息日會宜昌教會,台灣 - 花蓮縣,教會,03-853-4579,林清海
基督復臨安息日會光榮佈道所,台灣 - 花蓮縣,教會,03-834-6366,萬皓然
真耶穌教會塩寮教會,台灣 - 花蓮縣,教會,03-867-1438,
真耶穌教會豐坪教會,台灣 - 花蓮縣,教會,03-865-0271,
財團法人基督教聖道兒少福利基金會,台灣 - 台北市,社會關懷,02-2820-0002,
基督復臨安息日會復田教會,台灣 - 花蓮縣,教會,038-702-841,陳清榮 傳道
真耶穌教會磯崎教會,台灣 - 花蓮縣,教會,03-871-1108,
真耶穌教會靜浦教會,台灣 - 花蓮縣,教會,03-878-1248,
真耶穌教會西林教會,台灣 - 花蓮縣,教會,03-877-2050,
玉里五旬節教會,台灣 - 花蓮縣,教會,03-888-4685,游素因
真耶穌教會立山教會,台灣 - 花蓮縣,教會,03-884-1905,
真耶穌教會豐南教會,台灣 - 花蓮縣,教會,03-883-2060,
台北教會,台灣 - 台北市,教會,02-2704-6092 ,楊皓淵
基督天地國度事奉機構,台灣 - 新北市,書房出版,02-2259-2518,黃以色列
The Way 樂為生活廣場,台灣 - 新北市,教會,02-8954-1362,
基督復臨安息日會富田教會,台灣 - 花蓮縣,教會,038-702-841,賴初花
豐濱佳音教會,台灣 - 花蓮縣,教會,03-879-1892,張振寬
真耶穌教會新社教會,台灣 - 花蓮縣,教會,03-871-1167,
中央教會花蓮會堂,台灣 - 花蓮縣,教會,,
真耶穌教會紅葉教會,台灣 - 花蓮縣,教會,03-887-5583,
真耶穌教會玉里教會,台灣 - 花蓮縣,教會,03-888-8758,
真耶穌教會山里教會,台灣 - 花蓮縣,教會,03-884-1848,
真耶穌教會萬寧教會,台灣 - 花蓮縣,教會,03-886-1841,
苗栗愛加倍明光福音中心,台灣 - 苗栗縣,教會,037-33-3246,林信道 牧師
桃園大溪榮美教會花蓮福音中心,台灣 - 花蓮縣,教會,0975-840-944,楊欣怡 傳道
台灣教會公報社雲嘉書房,台灣 - 雲林縣,書房出版,"05-595-4250, 05-595-2041",張瑩春
財團法人高雄市基督教青年會劉阿蘭社會福利慈善基金會,台灣 - 高雄市,社會關懷,07-713-7466 ,巫水生
新生命台福基督教會,台灣 - 台南市,教會,06-723-1302,蕭天健
彰化縣音樂河社會福利協會,台灣 - 彰化縣,社會關懷,04-720-2229,陳靖宜
台北愛主教會,台灣 - 台北市,教會,02-2717-2005,許美玲 牧師
國際讀經會台南分會,台灣 - 台南市,教育訓練,06-234-4266,陳坤生 牧師
國際讀經會台中分會,台灣 - 台中市,教育訓練,04-2333-8989,陳清恩牧師
國際讀經會高雄分會,台灣 - 高雄市,教育訓練,07-286-6245,莊瀛仁牧師
桃園南崁泰勞之友教會恩典之家,台灣 - 桃園市,教會,0987-107-645,大衛﹙達文﹚ DAVAD
台灣藝起發光促進協會,台灣 - 台北市,宣教福音,02-2541-1385,宋逸民
基督教宣魚生活書坊,台灣 - 新北市,書房出版,02-2600-1072,范毓龍
苑裡靈糧堂,台灣 - 苗栗縣,教會,037-866-575,許維容 牧師
台灣基督教新心音樂事工協會,台灣 - 新北市,文化藝術,0922-668-247,王紹裘 先生
基督國度桃園美樂地教會,台灣 - 桃園市,教會,"03-332-3927,0925-200-087、03-434-0763","劉碧華, 劉于菁傳道"
雅各事奉中心,台灣 - 高雄市,其他,07-695-5588,楊麗仙
台北看見神同在基督教會,台灣 - 台北市,教會,02-2382-6216,朱理華 牧師
國際讀經會埔里分會,台灣 - 南投縣,教育訓練,049-2917-445,陳清恩牧師
國際讀經會金門分會,台灣 - 金門縣,教育訓練,082-32-8615,何信德 長老
社團法人中華安得烈慈善協會,台灣 - 新北市,社會關懷,02-2290-2248,羅紹和
青年事工英文訓練中心,台灣 - 台中市,社會關懷,04-2310-4890,
拿撒勒人會南區宣教中心,台灣 - 屏東縣,教會,,
台南基督全備福音教會,台灣 - 台南市,教會,"06-293-1107, 0931-909-780, 0989-277-879",林榮豐 牧師
幸福家庭快樂城市推動聯盟,台灣 - 台中市,社會關懷,04-2226-7700,
台灣基督長老教會台中大專學生中心,台灣 - 台中市,宣教福音,04-2235-6020,潘忠杰牧師
台灣四風收割教會,台灣 - 新北市,教會,02-2219-6790,
國際讀經會頭份分會,台灣 - 苗栗縣,教育訓練,037-596-112 ,邱玉珠 牧師
台灣基督長老教會北部大會事務所,台灣 - 台北市,宗派中心,02-2391-8310,
世界之光教會,台灣 - 台北市,教會,0916-02-1116,黃恩
青草地書房,台灣 - 新北市,書房出版,0971-009-512,李秀輝
恩典書房服飾精品店,台灣 - 新竹縣,書房出版,"03-510-2592, 0912-306-719",
熱力九九豐收教會,台灣 - 台北市,教會,02-8712-1490,熊瑾聲 傳道
中華基督教靈性育成事工協會,台灣 - 台北市,教育訓練,02-2767-2962,
基督教桃園浸信會溢恩堂,台灣 - 桃園市,教會,03-335-3106,李路加 牧師
台灣基督長老教會台北大專學生中心,台灣 - 台北市,宣教福音,02-2362-8054,張主憫 牧師
台北市恆遠全人關懷與發展協會,台灣 - 台北市,社會關懷,02-2343-5663,李良達
Love羊羊俱樂部,台灣 - 台北市,社會關懷,02-2307-9527,溫幸江
華人磐石領袖協會,台灣 - 台北市,教育訓練,02-2395-5518,
永望文化事業有限公司,台灣 - 台北市,書房出版,02-2367-0013 ，02-2368-0350,
社團法人台灣推喇奴爸爸學校推動協會,台灣 - 新竹縣,社會關懷,,黃贊彥
新店飛鷹書房,台灣 - 新北市,書房出版,02-2916-1575#111,
葡萄樹書坊,台灣 - 台中市,書房出版,04-2320-9622,邱姐妹
台南聖教會-方舟書房,台灣 - 台南市,書房出版,06-295-2171#1051,葉姊妹
橄欖樹書房,台灣 - 高雄市,書房出版,07-556-1175,呂姐妹
萬民敬拜禱告中心,台灣 - 台北市,其他,02-2581-8669,顏金龍
基督門徒福音中心,台灣 - 桃園市,教會,03-450-2508,黃以賜 傳道師
航空城歸主教會,台灣 - 桃園市,教會,03-313-5290,詹明晃 牧師
中華基督教衛理公會林口衛理堂,台灣 - 新北市,教會,02-2603-0430,廖秀卿
社團法人宜蘭縣全福關懷協會,台灣 - 宜蘭縣,社會關懷,03-950-0226,
台灣信義會中永和真理堂,台灣 - 新北市,教會,02-2244-2638,彭家盛 教師
西子灣福音中心,台灣 - 高雄市,其他,07-531-7337,周金榜
旌旗國際文化有限公司,台灣 - 台中市,書房出版,04-2258-4446#115,吳明玉
華人主日學師範學院,台灣 - 台北市,教育訓練,02-2571-1144轉 763,黃清一
紅色奇蹟福音書坊,台灣 - 台南市,書房出版,06-249-7717,廖振雁 姊妹
好地方書坊〈馬偕店〉,台灣 - 台東縣,書房出版,089-310-150 ext. 536,
白馬驛站,台灣 - 台北市,書房出版,02-271-83310,
左楠台福基督教會,台灣 - 高雄市,教會,07-360-0877,王慕飛 牧師
社團法人台灣基督教兒童青少年關懷協會,台灣 - 台南市,社會關懷,06-2560053,
台灣基督長老教會高雄區大專學生中心,台灣 - 高雄市,宣教福音,07-313-7737,郭秋微 副部長
蒙福純福音教會,台灣 - 花蓮縣,教會,03-831-6213,林美仙
社團法人台灣得人工作坊協會,台灣 - 台北市,社會關懷,"02-2339-2523, 02-2301-1090",李怡樺 牧師
忠孝基督全備福音教會,台灣 - 台北市,教會,02-8772-3092,蕭永信 傳道
台北基督徒永和禮拜堂南勢角福音中心,台灣 - 新北市,教會,02-2944-0707,"王葉忠 傳道, 黃玉玲 傳道"
高雄楠梓信心聖經教會,台灣 - 高雄市,教會,"07-364-7601, 0911-447-444",黃伊凡
台灣基督長老教會健清教會,台灣 - 台中市,教會,04-2622-9050,林麗娟 傳道師
活道出版機構,台灣 - 台南市,書房出版,06-213-6287,
財團法人台北市仁愛基督長老教會教育館,台灣 - 台北市,教育訓練,02-2707-8004,
聽見基督教有聲出版社台灣辦公室,台灣 - 台中市,書房出版,04-2302-6228,
淡水毘努伊勒靈糧堂,台灣 - 新北市,教會,02-2622-2766,王明悉 牧師
二重靈糧堂,台灣 - 新竹縣,教會,03-582-6151,蔡金龍 傳道
百福靈糧福音中心,台灣 - 基隆市,教會,02-2452-1567,林美紅 傳道
基督教雙愛心禱靈修中心,台灣 - 台北市,教會,02-2581-9440,王陽明 牧師
以琳基督門徒教會,台灣 - 台北市,教會,02-2597-0002,邱銘國 傳道
愛盟家庭文教基金會,台灣 - 新北市,教育訓練,02-2911-1553,楊寧亞
湖光棻館書房,台灣 - 台北市,書房出版,02-2797-7780,文亮 牧師
基督教恩惠教會,台灣 - 南投縣,教會,04-9242-1192,郭明智 牧師
致福感恩文教基金會,台灣 - 台北市,教育訓練,02-8780-2391,陳慧君
澎湖靈糧福音中心,台灣 - 澎湖縣,教會,06-921-8575,羅維正 牧師
以琳兒童培育中心,台灣 - 台南市,社會關懷,06-238-1010,
天母豐盛靈糧堂,台灣 - 台北市,教會,02-2871-2211,陳建正 牧師
萬金靈糧福音中心,台灣 - 新北市,教會,02-2408-2636,陳文郁 傳道
內壢播道會,台灣 - 桃園市,教會,03-435-4215,許瑞芬 傳道
財團法人台北市基督徒救世會社會福利事業基金會,台灣 - 台北市,社會關懷,02-2729-0265,
新店行道會,台灣 - 新北市,教會,02-2916-1575,張光偉 牧師
城市宣培中心,台灣 - 台中市,宣教福音,04-3500-6787,
中山靈糧福音中心,台灣 - 台北市,教會,02-2516-6436 分機 202,呂榮生 牧師
北投士林靈糧福音中心,台灣 - 台北市,教會,02-2891-4149,蘇清楠 牧師
中正靈糧福音中心,台灣 - 台北市,教會,02-2311-0316,談宇中 牧師
古亭靈糧福音中心,台灣 - 台北市,教會,02-6617-8266,姚芝芬 傳道
象山靈糧福音中心,台灣 - 台北市,教會,02-2759-9275,毛恩信 牧師
深坑靈糧福音中心,台灣 - 新北市,教會,02-2664-1637,蘇安騰 弟兄
平安之家泰國教會,台灣 - 桃園市,教會,0937-642-323,李光
國度生活中心,台灣 - 高雄市,教育訓練,07-215-0545,蔡雅貞傳道
內湖城市之光教會,台灣 - 台北市,教會,02-8751-6317,李進益 傳道
壯圍靈糧堂,台灣 - 宜蘭縣,教會,03-938-1854,陳嘉韻 傳道
松山靈糧福音中心,台灣 - 台北市,教會,02-2578-0277,曾惠南 牧師
竹圍靈糧福音中心,台灣 - 新北市,教會,02-2808-6970,朱國樑 牧師
大同靈糧福音中心,台灣 - 台北市,教會,02-2585-0941,羅慶聖 傳道
萬華靈糧福音中心,台灣 - 台北市,教會,02-2311-3300,游澤民 牧師
信義靈糧福音中心,台灣 - 台北市,教會,02-6617-7077,陳永正 牧師
興隆靈糧福音中心,台灣 - 台北市,教會,02-2234-7450,葉靜瑜 牧師
泰山喜樂靈糧堂,台灣 - 新北市,教會,02-2296-3282,馮啟文 牧師
南勢角靈糧福音中心,台灣 - 新北市,教會,02-2943-7811,趙齊實 牧師
三樹靈糧福音中心,台灣 - 新北市,教會,02-3501-9707,謝明宏 牧師
中壢菲語靈糧堂,台灣 - 桃園市,教會,03-433-4161,柏賀蒙 牧師
頭份靈糧堂,台灣 - 苗栗縣,教會,037-595-971,鄧顯哲 傳道
埔里生命之道靈糧堂,台灣 - 南投縣,教會,049-291-0139,林進吉 牧師
芬園主恩靈糧堂,台灣 - 彰化縣,教會,04-9251-0513,史培勳 牧師
田中靈糧堂,台灣 - 彰化縣,教會,04-876-1011,高景旗 牧師
東石靈糧福音中心,台灣 - 嘉義縣,教會,05-373-4512,林碧亮 傳道
旗津活泉靈糧堂,台灣 - 高雄市,教會,07-571-3058,吳雪梅 傳道
蘆洲迦勒靈糧福音中心,台灣 - 新北市,教會,02-2281-2617,劉禮昌 弟兄
永和靈糧福音中心,台灣 - 新北市,教會,02-8923-9866,趙齊實 牧師
板城靈糧福音中心,台灣 - 新北市,教會,02-2264-9191,謝明宏 牧師
八德靈糧福音中心,台灣 - 桃園市,教會,03-363-2280,鄭智賢 傳道
竹東靈糧堂,台灣 - 新竹縣,教會,03-595-5251,馬永昌 傳道
台中富足靈糧堂,台灣 - 台中市,教會,04-2482-3627,陳恩展 牧師
花壇靈糧堂,台灣 - 彰化縣,教會,04-786-2459,陳淑靜 牧師
員林東區靈糧堂,台灣 - 彰化縣,教會,04-836-2713,鄭明仁 牧師
四湖靈糧堂,台灣 - 雲林縣,教會,05-787-7651,陳聖祿 牧師
基督教興旺教會,台灣 - 台南市,教會,"06-623-0755, 0933-337488",陳正道 主任牧師
華興靈糧福音中心,台灣 - 宜蘭縣,教會,03-951-7520,李孝珠 傳道
自由成功靈糧堂,台灣 - 台東縣,教會,089-854-265,林煜清 牧師
台灣教會公報社新竹門市,台灣 - 新竹市,書房出版,03-561-9913、0931-647325,張欽勇
基督權能福音教會台北堂,台灣 - 台北市,教會,02-2700-4400,朱秋全 牧師
台灣耶路撒冷國際基督徒協會,台灣 - 台北市,社會關懷,02-7736-6250,周效遠
彰化旌旗教會,台灣 - 彰化縣,教會,04-723-3273,黃以文 牧師
台灣信義會林園利河伯教會,台灣 - 高雄市,教會,07-645-2512,陳素芳 教師
社團法人中華安得烈慈善協會,台灣 - 台北市,社會關懷,02-5582-8003,
社團法人中華安得烈慈善協會台南辦事處,台灣 - 台南市,社會關懷,06-511-9548,
APHA 亞洲禱告殿,台灣 - 台北市,其他,02-2882-2980,
宜蘭靈糧堂,台灣 - 宜蘭縣,教會,03-935-8483,游本義 牧師
台東禧福活水福音中心,台灣 - 台東縣,教會,089-34-0516,蔡英德 傳道
台灣信義會鶯歌復興全人關懷中心,台灣 - 新北市,教會,02-2678-4627,陳淑女
霧峰信心聖經教會,台灣 - 台中市,教會,04-2339-6482,游雅麟 傳道
屏東市希望宣道敬拜中心,台灣 - 屏東縣,教會,08-799-3817,王路得 牧師
大坪林靈糧福音中心,台灣 - 新北市,教會,02-2218-0939,呂榮生 牧師
旌旗教會沙鹿分點,台灣 - 台中市,教會,04-2662-8984,蔡景星 區牧
中華發光使命協會,台灣 - 台北市,社會關懷,02-2508-4945,王宗隆
社團法人中華安得烈慈善協會台中辦事處,台灣 - 台中市,社會關懷,04-3505-0858,
社團法人中華安得烈慈善協會高雄辦事處,台灣 - 高雄市,社會關懷,07-955-3148,
國際事奉學校台灣區域中心,台灣 - 台中市,宗派中心,04-2298-0005,張天明
葡萄園豐收教會,台灣 - 台北市,教會,"02-2365-0626, 0938-311-836",黃慈文
基督國度活泉教會,台灣 - 台南市,教會,06-635-4003,丁濘恩
教會人權促進協會,台灣 - 台北市,社會關懷,02-2363-2096,郭英馥
台灣手語聖經發展協會,台灣 - 台中市,社會關懷,04-2233-2525,吳信蒼
社團法人台灣美門關懷服務協會,台灣 - 台北市,社會關懷,02-2956-9193,劉南英
社團法人中華白絲帶關懷協會,台灣 - 台北市,社會關懷,02-2707-1785,
台灣信義會北大真理堂社區中心,台灣 - 新北市,教會,02-8672-5575 #601,楊麗芬 教師
台灣信義會士林歌珊堂,台灣 - 台北市,教會,02-2882-6663,平嬡娟 傳道
台灣信義會台中慕義堂北屯讚美教會,台灣 - 台中市,教會,0932-584-342,徐明華 弟兄
三重基督教會,台灣 - 新北市,教會,02-2976-3220,楊彼得 牧師
基督國度事奉學院 台北學院,台灣 - 台北市,教育訓練,02-2933-6316,陳淑玲
基督國度橄欖山教會,台灣 - 南投縣,教會,049-256-0823、0919-055-832,王明崑
基督國度馬世特教會,台灣 - 台北市,教會,"02-2381-6900, 02-2381-7805, 0931-359-093",徐明堂
基督教台灣貴格會林口教會,台灣 - 新北市,教會,02-2609-9519,林哲民 牧師
社團法人台東縣基督教晨光之家協會,台灣 - 台東縣,社會關懷,089-339170,
十興家庭教會,台灣 - 新竹縣,教會,03-658-5165,程格非 姊妹
台灣信義會大武崙和平堂,台灣 - 基隆市,教會,"02-2431-2211, 02-2462-6725",劉家信 傳道
台灣信義會淡水真理堂,台灣 - 新北市,教會,02-2620-5382,馬震宇 傳道
台灣信義會逢甲慕義堂,台灣 - 台中市,教會,"04-2451-9877, 04-2452-2213",劉雅諾 牧師
社團法人台灣黃絲帶愛網關懷協會,台灣 - 台南市,社會關懷,"06-251-5504, 06-251-5630",
信義醫療財團法人高雄基督教醫院,台灣 - 高雄市,醫療機構,07-332-1111,陳澄鋆 醫師
社團法人中華少數民族宣教中心差傳會,台灣 - 台中市,宣教福音,04-2247-2002,江冠明 牧師
台灣基督長老教會澎湖宣教中心,台灣 - 澎湖縣,宣教福音,,
滬尾偕醫館,台灣 - 新北市,書房出版,02-2629-2515,
中華親愛家庭協會,台灣 - 新竹市,社會關懷,0938-603-620,駱玫玲
板橋純福音教會,台灣 - 新北市,教會,02-2221-3719,朴哲熙
岡山台福基督教會,台灣 - 高雄市,教會,06-295-9328,林增佳 牧師
財團法人臺北市喜樂家族社會福利基金會,台灣 - 台北市,社會關懷,02-2703-5969,潘秀霞 牧師
財團法人天使心家族社會福利基金會台中服務處,台灣 - 台中市,社會關懷,04-2326-2687,蔡藝華
台灣信義會台中慕義堂斗六全人關懷中心,台灣 - 雲林縣,教會,0970-009-650,陳淑女 教師
社團法人台灣黃絲帶愛網關懷協會永康辦公室,台灣 - 台南市,社會關懷,"06-302-7991, 06-302-7735",
希奇全人復興發展協會,台灣 - 台北市,宣教福音,0912-904-000,徐弟兄
社團法人台南市讚美音樂協會,台灣 - 台南市,文化藝術,06-297-5428,鄭哲宇
財團法人基督教中華信望愛基金會,台灣 - 新北市,其他,02-8913-2088轉6191,江素蘭
馬偕醫一號,台灣 - 新北市,書房出版,02-2626-7431,
基督教長老會台灣東印教會,台灣 - 新北市,教會,02-2947-0300,李翠玲
基督教提摩太教會,台灣 - 高雄市,教會,07-777-6142、0929-217-423,鄭得恩 牧師
萬國真光基督教會,台灣 - 台南市,教會,06-590-3073,邱郁捷
財團法人天使心家族社會福利基金會高雄服務處,台灣 - 高雄市,社會關懷,07-558-5940,韓珮彤
財團法人天使心家族社會福利基金會台南服務處,台灣 - 台南市,社會關懷,06-298-2948,李穗欣
財團法人基督復臨安息日會時兆出版社,台灣 - 台北市,書房出版,02-2752-1322,
基督復臨安息日會板橋幸福福音中心,台灣 - 新北市,教會,,曹章冽
基督復臨安息日會平鎮盼望福音中心,台灣 - 桃園市,教會,03-492-2084,李龍勳
基督復臨安息日會北屯福音中心,台灣 - 台中市,教會,04-2243-2769,張任喆 牧師
基督復臨安息日會鹿港分校,台灣 - 彰化縣,教育訓練,047-753-610,陳懷安
基督復臨安息日會沙鹿佈道所,台灣 - 台中市,教會,04-2665-6142,權赫民
基督復臨安息日會斗六佈道所,台灣 - 雲林縣,教會,05-535-0707,鄭大福
貴格會台南第一教會,台灣 - 台南市,教會,06-250-4876,李順輝 傳道
和散那國度事奉教會,台灣 - 高雄市,教會,0929-876-131,陳瓊玫 傳道
財團法人天使心家族社會福利基金會桃園服務處,台灣 - 桃園市,社會關懷,03-220-0438,蘇佳音
台南信實復活基督教會,台灣 - 台南市,教會,06-246-9107,朱培中
安息日會臺安醫院院牧,台灣 - 台北市,醫療機構,02-2771-8151轉2842,章巷伯
基督復臨安息日會宜蘭福音中心,台灣 - 宜蘭縣,教會,03-936-7273,李宇鎮
基督復臨安息日會桃英佈道所,台灣 - 桃園市,教會,03-334-5273,雷藍尼(Remo)
基督復臨安息日會台中教會佈道堂,台灣 - 台中市,教會,04-2201-1418,曾加男 牧師
基督復臨安息日會埔里佈道所,台灣 - 南投縣,教會,049-299-5635,陳慈敏
基督復臨安息日會大里福音中心,台灣 - 台中市,教會,04-2406-1098,尹晟喆
基督復臨安息日會楠梓英文福音中心,台灣 - 高雄市,教會,,旭日〈Calbert〉
臺北歸正福音教會,台灣 - 台北市,教會,02-2547-3439,胡昌豪 牧師
中國佈道會台中思恩堂愛作伙教會,台灣 - 台中市,教會,04-2395-1553,方順儀 傳道
湖光棻館兒童青少年發展中心,台灣 - 台北市,社會關懷,02-2797-7780,文亮
基督復臨安息日會雙崎教會,台灣 - 台中市,教會,04-2591-1190,黃志慧 牧師
基督復臨安息日會民族分校,台灣 - 高雄市,教育訓練,07-670-1192,陳俊澤
台南純福音教會,台灣 - 台南市,教會,06-208-2833,任寶珩 傳道
基督復臨安息日會佳暮分校,台灣 - 屏東縣,教育訓練,08-790-2586,許進登
基督復臨安息日會瑪家分校,台灣 - 屏東縣,教育訓練,08-799-6077,巴進達
基督復臨安息日會春日教會,台灣 - 屏東縣,教會,08-878-3465,曾德仁
基督復臨安息日會豐田教會,台灣 - 台東縣,教會,,歐孝峰
基督復臨安息日會大溪佈道所,台灣 - 桃園市,教會,02-2603-2207,賴立俊
中國佈道會台中思恩堂傳動教會,台灣 - 台中市,教會,04-2293-9595,杜智弘 牧師
社團法人中華基督徒地方教會聯合差傳協會,台灣 - 台北市,宣教福音,02-2508-1345,李健
基督復臨安息日會中原分校,台灣 - 南投縣,教育訓練,,李健華
基督復臨安息日會澳花福音中心,台灣 - 宜蘭縣,教會,039-982-655,帝瓦撒那.馬迪令
基督復臨安息日會杉林重生教會,台灣 - 高雄市,教會,,陳國鄉
基督復臨安息日會吉露佈道所,台灣 - 屏東縣,教會,,吳榮標
基督復臨安息日會萬安分校,台灣 - 屏東縣,教育訓練,08-799-0393,塗志偉
基督復臨安息日會南和分校,台灣 - 屏東縣,教育訓練,08-798-1608,陳雅翰
基督復臨安息日會八瑤分校,台灣 - 屏東縣,教育訓練,08-883-1759,曾德仁
基督復臨安息日會台東佈道所,台灣 - 台東縣,教會,089-220-428,全材松
基督復臨安息日會九曲堂福音中心,台灣 - 高雄市,教會,07-652-2569,馮生強
宣道會馨香堂,台灣 - 台北市,教會,02-2312-3533,歐克禮 傳道
宣道會褒忠堂,台灣 - 雲林縣,教會,05-697-5797,溫培道 牧師
佳音基督的教會,台灣 - 台中市,教會,04-2233-4474,李敏椿 牧師
Arise台東興起教會,台灣 - 台東縣,教會,089-35-6060,高永旭 傳道
龍岡懷恩教會,台灣 - 桃園市,教會,"0930-299-649, 03-460-0307",潘振發 牧師
秀山靈糧福音中心,台灣 - 新北市,教會,02-8668-0175,李漢龍 弟兄
廿張靈糧福音中心,台灣 - 新北市,教會,02-2911-7127,方銀玲 傳道
巴拿巴宣教學院,台灣 - 台北市,教育訓練,"02-2362-3022 分機7601,7602",
社團法人中華彩虹天堂協會,台灣 - 台北市,社會關懷,02-8771-5555,顧其芸 牧師
