醫療機構名稱,地址,電話,垂直整合策略聯盟/主責醫事機構,終止合約或歇業日期
全家健康藥局,新北市土城區中央路4段288號,02-22678143,,
誠安藥局,新北市土城區中央路4段36號1樓,02-22677737,,
佑祥牙醫診所,新北市土城區中央路4段64號1、2樓，66號1、2樓,02-22681482,,
思安牙醫診所,新北市土城區中央路4段75號1樓,02-22674991,,
康捷牙醫診所,新北市土城區中央路4段76－5號2樓,02-22678768,,
冠菲牙醫診所,新北市土城區中央路一段252號1樓,02-82731331,,
優嘉藥師連鎖藥局,新北市土城區中央路二段117號1樓,02-82629788,,
富城牙醫診所,新北市土城區中央路二段161號1樓,02-22730006,,
元德診所,新北市土城區中央路二段253號1樓，255號1樓,02-22709205,,
同仁物理治療所,新北市土城區中央路四段127號12樓,02-80763952,,
土城明師中醫聯合診所,新北市土城區中正路1號1－2樓,02-22746699,,
富柏大藥局,新北市土城區水源街22號1樓,02-82626815,,
世桓中醫診所,新北市土城區永豐路135巷17弄6號1樓,02-22664515,,
三豐藥局,新北市土城區永豐路135巷8號,02-22733766,,
崇愛藥局,新北市土城區永豐路17號,02-22665506,,
祥安大藥局,新北市土城區立德路42－1號,02-22629707,,
博盛健保藥局,新北市土城區立德路66號2樓,02-22622331,,
裕林牙醫診所,新北市土城區立德路74巷2號,02-22661490,,
萬芳牙醫診所,新北市土城區光明街3號1樓,02-82731677,,
立新藥局,新北市土城區光明街5號1樓,02-82626111,,
楊偉澤牙醫診所,新北市土城區和平路4－1號1樓,02-22746533,,
大宇牙醫診所,新北市土城區延平街43號,02-22620424,,
合安中醫診所,新北市土城區延吉街119號1樓,02-22631561,,
康群牙醫診所,新北市土城區延吉街124號,02-82620688,,
宏奇藥局,新北市土城區延吉街126號1樓,02-82619585,,
嘉恩牙醫診所,新北市土城區延吉街143號1樓,02-82623263,,
東方牙醫診所,新北市土城區延吉街168巷1號,02-22647654,,
裕達藥局,新北市土城區延吉街171號,02-22739328,,
明曜牙醫診所,新北市土城區延吉街206號1、2樓，208號1、2樓,02-22627700,,
星曜牙醫診所,新北市土城區延吉街206號1、2樓，208號1、2樓,02-22627700,,
美康藥妝藥局,新北市土城區延吉街254號1樓,02-22616868,,
欣揚中醫診所,新北市土城區延吉街268號1樓,02-82622388,,
莒光牙醫診所,新北市土城區延吉街288、290號,02-22743687,,
協成藥局,新北市土城區延吉街333號,02-22653212,,
德祥牙醫診所,新北市土城區延吉街337號1樓,02-22604349,,
璟馨居家護理所,新北市土城區延吉街76號3樓,02-77230968,,
吉德中醫診所,新北市土城區延吉路168巷3號,02-22610430,,
陽光活力藥局,新北市土城區延和路103號1樓,02-22610590,,
國安健保藥局,新北市土城區延和路109號1樓,02-22614933,,
祥恩診所,新北市土城區延和路114號1樓,02-22731129,,
延和中醫診所,新北市土城區延和路127號、125巷2號、125巷4號,02-22635611,,
順儷藥師藥局,新北市土城區延和路16之3號1樓,02-22648655,,
璨鴻藥局,新北市土城區延和路191號,02-82622588,,
漢榮中醫診所,新北市土城區延壽路13巷1號,02-22659758,,
沅鴻牙醫診所,新北市土城區承天路7號1樓,02-22675188,,
信誠牙醫診所,新北市土城區明峰街40號1樓,02-82601814,,
大眾藥局,新北市土城區明峰街6巷1號,02-22666057,,
和揚中醫診所,新北市土城區明德路1段101號,02-82602868,,
舒民藥局,新北市土城區明德路1段35號2樓,02-22748654,,
振興牙醫診所,新北市土城區明德路1段41號1樓,02-22600429,,
咸安藥局,新北市土城區明德路1段4號1樓,02-22627434,,
廣昇健保藥師藥局,新北市土城區明德路1段53號,02-22638300,,
清水建全中醫診所,新北市土城區明德路1段59號1樓,02-22649299,,
順儷明德藥局,新北市土城區明德路2段139、141號1樓,02-22644779,,
成德中醫診所,新北市土城區明德路2段163號1樓,02-22657056,,
嘉德沈牙醫診所,新北市土城區明德路2段211號,02-22736756,,
私立迦百農康復之家,新北市土城區明德路二段62號9樓、9樓之1,02-22628568,,
育佳藥局,新北市土城區金城路2段242巷7號1樓,02-22645692,,
儷生藥局,新北市土城區金城路2段390號1樓,02-22609911,,
全聯土城金城藥局,新北市土城區金城路3段12號地下1樓,02-22607958,,
誠恩藥局,新北市土城區金城路3段137號1樓,02-22665533,,
建明中醫診所,新北市土城區金城路3段139巷12號1樓,02-82612530,,
順儷金城藥局,新北市土城區金城路3段147號1樓,02-22621590,,
麗膚藥局,新北市土城區金城路3段164號1樓,02-22640600,,
元崇藥局,新北市土城區金城路3段176－1號2樓,02-22643076,,
穗城復健科診所,新北市土城區金城路3段176號1樓、2樓、176－2號,02-82732239,,
金城牙醫診所,新北市土城區金城路3段191號1、2樓,02-22656912,,
城安大藥局,新北市土城區金城路3段40號,02-22646561,,
福滿堂中醫診所,新北市土城區青仁路37號1樓,02-22749873,,
大業藥局,新北市土城區青仁路41號,02-22626791,,
得揚工作坊,新北市土城區青雲路10-2號,02-22747021,,
家泰藥局,新北市土城區青雲路181號1、2樓,02-22749490,,
小倉藥局,新北市土城區青雲路190號1樓,02-22744257,,
仁祥牙醫診所,新北市土城區青雲路226號1、2樓,02-82622870,,
祥發藥局,新北市土城區青雲路255號,02-22655056,,
岳揚牙醫診所,新北市土城區青雲路277號1樓,02-22623302,,
鄭家藥局,新北市土城區清水路127號1樓,02-22640005,,
耆康中醫診所,新北市土城區清水路174號,02-22749579,,
渼林中醫診所,新北市土城區清水路179號1樓,02-22645353,,
誼家牙醫診所,新北市土城區清水路181號,02-22748933,,
佑安藥局,新北市土城區清水路334號2樓,02-22643960,,
悅揚牙醫診所,新北市土城區裕民路96號1、2樓,02-22662088,,
富康牙醫診所,新北市土城區裕民路108號1、2樓,02-22620012,,
全聯土城裕民藥局,新北市土城區裕民路116號地下1樓,02-22616265,,
德隆藥局,新北市土城區裕民路153號1樓,02-22656056,,
成安牙醫診所,新北市土城區裕民路155號1樓,02-22665737,,
埔銓藥局,新北市土城區裕民路164號1樓,02-22630230,,
顏式模牙醫診所,新北市土城區裕民路185巷5號,02-22653048,,
祐生中醫診所,新北市土城區裕民路202號,02-22741763,,
維濃中醫診所,新北市土城區裕民路228號1樓,02-82620598,,
傑聖牙醫診所,新北市土城區裕民路236號1樓,02-22731247,,
大欣藥局,新北市土城區裕民路251號,02-22653208,,
良一牙醫診所,新北市土城區裕民路261－1號1樓,02-22737329,,
土城金城藥局,新北市土城區裕民路280號1、2樓,02-22603338,,
土城竹善堂中醫診所,新北市土城區裕民路280號3樓,02-22639333,,
宏大牙醫診所,新北市土城區裕民路42號,02-82732203,,
樂利藥局,新北市土城區裕民路77號1樓,02-22630092,,
健群藥局,新北市土城區裕民路80號2樓,02-22634747,,
施潔慧牙醫診所,新北市土城區裕民路81號1樓,02-22658126,,
凱一藥局,新北市土城區裕民路92巷21弄8號1樓,02-22707679,,
陳鴻翔中醫診所,新北市土城區裕民路98號1、2樓,02-82732377,,
家庭藥師連鎖藥局,新北市土城區裕生路23號1樓,02-22633601,,
裕生藥局,新北市土城區裕生路4號,02-22624919,,
土城許牙醫診所,新北市土城區裕生路82巷1號,02-22654338,,
善淳藥師藥局,新北市土城區福仁街19號1樓、B1樓,02-82627371,,
良方藥局,新北市土城區廣明街23巷24號1樓,02-89661161,,
瑞益藥局,新北市土城區廣明街63巷4號,02-89668598,,
久安藥局,新北市土城區廣明街70號1樓,02-89671097,,
怡安牙醫診所,新北市土城區廣明街81號,02-89665505,,
聖和中醫診所,新北市土城區廣興街28、30號,02-89666288,,
仁安牙醫診所,新北市土城區廣興街29號,02-89661921,,
土城芳鄰牙醫診所,新北市土城區慶安街35號,02-22633461,,
景紀大藥局,新北市土城區學成路34號,02-22601403,,
福康居家護理所,新北市土城區學享街58號9樓之9,02-82625224,,
易元堂中醫診所,新北市土城區學府路1段107號1、2樓,02-22634669,,
佳楷牙醫診所,新北市土城區學府路1段113號1－2樓,02-22633436,,
學府實和藥局,新北市土城區學府路1段121號,02-22612111,,
順儷學府藥局,新北市土城區學府路1段144巷2號1樓,02-22701979,,
宏維牙醫診所,新北市土城區學府路1段153號,02-22643168,,
悠活精神科診所,新北市土城區學府路1段158號1樓,02-22748877,,
活力藥局,新北市土城區學府路1段158號1樓,02-22739977,,
嘉銳牙醫診所,新北市土城區學府路1段168號,02-22702412,,
佳霖藥局,新北市土城區學府路1段170號1樓,02-22641425,,
成康藥局,新北市土城區學府路1段188號1樓,02-22706596,,
林原億中醫診所,新北市土城區學府路1段189巷11弄4號1樓,02-22649429,,
吉城大藥局,新北市土城區學府路1段205號1樓,02-22626870,,
學安藥師藥局,新北市土城區學府路1段211號1樓,02-22610565,,
聖滄中醫診所,新北市土城區學府路1段216號,02-22601185,,
盛泓牙醫診所,新北市土城區學府路1段33號,02-22643882,,
錫安牙醫診所,新北市土城區學府路1段53號1樓,02-22637722,,
學林牙醫診所,新北市土城區學府路1段56號1樓、2樓,02-22628711,,
元蒼藥局,新北市土城區學府路1段69號1樓,02-22733868,,
大康藥局,新北市土城區學府路1段72號2樓,02-22738004,,
佳慈居家護理所,新北市土城區學府路2段65號1樓,02-22603011,,
健鼎藥局,新北市土城區學府路一段117號,02-22633469,,
精湛牙醫診所,新北市土城區學府路一段179號1樓、2樓,02-22625222,,
精湛美學牙醫診所,新北市土城區學府路一段179號1樓、2樓,02-22625222,,
學府松藥局,新北市土城區學府路一段38號1、2樓,02-82628665,,
明儒中醫診所,新北市中和區大仁街19巷3號1樓,02-29405050,,
康廷安藥局,新北市中和區大勇街16號1樓,02-86683599,,
榮祥牙醫診所,新北市中和區大勇街25巷38弄7號1樓,02-29407134,,
吉佑藥局,新北市中和區大勇街34號1樓,02-89416539,,
宣達中醫診所,新北市中和區大勇街8號1樓,02-86686598,,
大榮藥局,新北市中和區中山路2段127號,02-22497965,,
上仁藥局,新北市中和區中山路2段131巷11－1號,02-22480074,,
徐錦堂牙醫診所,新北市中和區中山路2段203號1－2樓,02-22480650,,
中和班廷謝安慈診所,新北市中和區中山路2段208號2樓及210號1樓、2樓,02-22401726,,
慈育廣合中醫診所,新北市中和區中山路2段213號1樓、2樓,02-22400102,,
中和德威牙醫診所,新北市中和區中山路2段215號1，2樓,02-22436369,,
宋家牙醫診所,新北市中和區中山路2段221號1樓,02-22456500,,
朋詡牙醫診所,新北市中和區中山路2段244號1樓,02-22483035,,
郭長?診所,新北市中和區中山路2段268號,02-22493557,,
中山牙醫診所,新北市中和區中山路2段2巷3弄4號,02-22490497,,
新隆醫事檢驗所,新北市中和區中山路2段348巷8號3樓,02-22453355,,
久大牙醫診所,新北市中和區中山路2段3巷2號1樓,02-82458136,,
皇家護理之家,新北市中和區中山路2段560號5樓、562號5樓,02-22261881,,
大中和牙醫診所,新北市中和區中山路2段60號1樓,02-22483473,,
東和牙醫診所,新北市中和區中山路2段660號,02-22226788,,
康祐診所,新北市中和區中山路3段121號（1樓）、121之1號（2樓）,02-22239293,,
中和環球藥局,新北市中和區中山路3段121號1樓,02-22211812,,
民揚診所,新北市中和區中山路3段132號1、2樓,02-22267611,,
建隆牙醫診所,新北市中和區中山路3段152號,02-82211417,,
明燦眼科診所,新北市中和區中山路3段196號1樓,02-22251002,,
祥齡牙醫診所,新北市中和區中山路3段204號,02-29523299,,
遠雄牙醫診所,新北市中和區中山路3段21號1樓,02-22267536,,
皇秦大藥局,新北市中和區中山路3段39之1號1樓,02-22269636,,
坤暉藥局,新北市中和區中山路3段94號2樓,02-82217939,,
中和慈美藥局,新北市中和區中山路二段208號1樓,02-22425835,,
新柏氏診所,新北市中和區中山路二段348巷8號5樓,02-22489922,,
安立康復之家,新北市中和區中山路二段560號3樓,02-22265563,,
雅文皮膚科診所,新北市中和區中山路三段129號1至2樓,02-22228325,,
皇秦診所,新北市中和區中山路三段39－1號1樓,02-22219825,,
正生婦幼聯合診所,新北市中和區中正路122號1、2、3樓,02-22446969,,
三華藥局,新北市中和區中正路124號1樓,02-22470928,,
禾藝居家護理所,新北市中和區中正路211巷36弄12號1樓,02-82457839,,
景安牙醫診所,新北市中和區中正路24號1樓,02-22456567,,
新雙和藥師藥局,新北市中和區中正路281－8號1樓,02-22404276,,
雙合藥局,新北市中和區中正路291號1樓,02-22476607,,
衛生福利部雙和醫院附設居家護理所(委託臺北醫學大學興建經營),新北市中和區中正路291號5樓,02-22490088,,
詠德中醫診所,新北市中和區中正路47號1樓,02-22480658,,
齊心牙醫診所,新北市中和區中正路730之1號1樓,02-82269988,,
寰康復健診所,新北市中和區中安街104號1樓,02-29257878,,
永安健康中醫診所,新北市中和區中安街114號1樓及116號1樓,02-29283963,,
禾昌藥局,新北市中和區中安街178巷2號1樓,02-29267330,,
育新藥局,新北市中和區中安街40巷6號,02-29283479,,
采石牙醫診所,新北市中和區中安街6號,02-29259393,,
德綸牙醫診所,新北市中和區中安街98號1樓,02-32332383,,
王上卿婦產科診所,新北市中和區中和路114號,02-22421616,,
綠杏廟口藥局,新北市中和區中和路115號1樓,02-22470547,,
陽明微笑牙醫診所,新北市中和區中和路116號,02-22428566,,
中和牙醫診所,新北市中和區中和路219號1樓,02-22490908,,
杏嘉診所,新北市中和區中和路253號1樓,02-22493445,,
中和大元牙醫診所,新北市中和區中和路254號1、2樓,02-22497188,,
劉彭小兒科診所,新北市中和區中和路271號,02-22483435,,
輝瑞牙醫診所,新北市中和區中和路314號1樓,02-89232218,,
精誠中醫診所,新北市中和區中和路324巷3弄5號1樓,02-29202233,,
向日葵牙醫診所,新北市中和區中和路410號1、2樓,02-22323003,,
福和身心診所,新北市中和區中和路428號1樓,02-29291868,,
東陽牙醫診所,新北市中和區中和路440號1、2樓,02-29264055,,
華漢中醫診所,新北市中和區中和路448號〈第一層〉,02-86601999,,
文心牙醫診所,新北市中和區中和路450號,02-32337040,,
中和保源中醫診所,新北市中和區中和路58號1樓,02-22495229,,
漳怡內科診所,新北市中和區中和路59號3樓及59號3樓之2,02-22445222,,
私立中和康復之家,新北市中和區中和路59號4樓,02-82459066,,
一成牙醫診所,新北市中和區中和路88號1、2樓,02-22498983,,
一安藥妝藥局,新北市中和區中和路9號1.2樓,02-22483778,,
瑞光牙醫診所,新北市中和區中興街134號1樓,02-22422130,,
惠民藥局,新北市中和區中興街153號1樓,02-22475303,,
以法蓮藥局,新北市中和區中興街154號1樓,02-22438983,,
三元中醫診所,新北市中和區中興街202巷16－1號1樓,02-22429808,,
康富力藥局,新北市中和區仁愛街32號1樓,02-29429896,,
薛牙醫診所,新北市中和區仁愛街86號1樓,02-29498166,,
良安藥局,新北市中和區文元里連城路366號1樓,02-22225798,,
振辰外科診所,新北市中和區民生街2－1號,02-29545058,,
旭豐藥局,新北市中和區民享街41號,02-22215393,,
瑞發藥局,新北市中和區民享街56－1號,02-22235319,,
陳南中醫診所,新北市中和區民享街58－1號,02-22227337,,
名人牙醫診所,新北市中和區民享街58號,02-22222158,,
群益牙醫診所,新北市中和區民享街86巷16號1樓,02-22216336,,
清成牙醫診所,新北市中和區民享街86巷22號,02-22222555,,
祥和牙醫診所,新北市中和區民享街91－8號1樓,02-22252820,,
吉仁牙醫診所,新北市中和區民德路134號1樓,02-29585988,,
家家藥局,新北市中和區民德路43號,02-29587512,,
民德藥局,新北市中和區民德路61－1號1樓,02-89514746,,
欣祥藥局,新北市中和區民德路74－1號,02-29646442,,
實踐牙醫診所,新北市中和區民德路79號2樓,02-29578582,,
穗安復健科診所,新北市中和區民樂路36號1樓,02-22232187,,
和欣泰藥局,新北市中和區永貞路223號1樓,02-29290867,,
寧靜海診所,新北市中和區永貞路239巷20號1樓,02-29212321,,
林德興藥局,新北市中和區永貞路242巷9號,02-29228026,,
宏信藥局,新北市中和區永貞路262巷4號,02-29294976,,
貞心藥局,新北市中和區永貞路280之1號1樓,02-29203865,,
永貞明師中醫診所,新北市中和區永貞路292號1樓、2樓、地下1樓,02-22320389,,
千大藥局,新北市中和區立人街13號1樓,02-29441567,,
永立牙醫診所,新北市中和區立人街23號1、2樓,02-89433119,,
真成大藥局,新北市中和區光華街38號,02-22447008,,
敦品牙醫診所,新北市中和區光華街68號,02-22457343,,
三德和藥局,新北市中和區吉興里南山路289號1樓,02-22471028,,
陳承吉中醫診所,新北市中和區安平路106號1樓,02-29475566,,
王家醫科診所,新北市中和區安平路157號,02-29253508,,
群安牙醫診所,新北市中和區安平路210號1樓及212號1樓、2樓,02-29456556,,
璟福藥局,新北市中和區安平路76號1樓,02-29408669,,
安平牙醫診所,新北市中和區安平路78號,02-86684688,,
安平家診所,新北市中和區安平路89號1、2樓,02-29461010,,
瑞星牙醫診所,新北市中和區安邦街130號1樓、132號2樓,02-22435343,,
嘉美牙醫診所,新北市中和區安邦街91號1樓,02-22423989,,
樂活精神科診所,新北市中和區安樂路25號1樓,02-29463655,,
悠悅藥局,新北市中和區安樂路25號2樓,02-29463755,,
中和興南大學眼科診所,新北市中和區安樂路3號1樓、5號1樓、5號2樓,02-29458088,,
泰安醫事檢驗所,新北市中和區安樂路52號,02-29416988,,
戴廣懷小兒科診所,新北市中和區安樂路66號,02-29414451,,
信隆大藥局,新北市中和區安樂路6號,02-29426196,,
季明眼科診所,新北市中和區安樂路81號2樓,02-89410905,,
秀景中醫診所,新北市中和區成功路105號1樓,02-29455808,,
延生診所,新北市中和區成功路15號1樓,02-86680896,,
薛家牙醫診所,新北市中和區成功路9號1樓,02-89424090,,
新格牙醫診所,新北市中和區自立路181號,02-29499230,,
吉立藥局,新北市中和區自立路183號1樓,02-29450561,,
聖康藥師藥局,新北市中和區自立路39號1樓,02-29478002,,
宣景中醫診所,新北市中和區自立路7號1樓,02-29429878,,
杏林中醫診所,新北市中和區自治街12號1樓,02-22219035,,
中和仁安診所,新北市中和區自強路58號,02-86682552,,
君品牙醫診所,新北市中和區秀朗路3段105號1、2、3樓,02-29409099,,
柏安牙醫診所,新北市中和區秀朗路3段179號,02-31517588,,
禾心藥局,新北市中和區秀朗路3段64號1樓,02-86688922,,
榮菖藥局,新北市中和區和平街15之1號1樓,02-29492620,,
龍恩中醫診所,新北市中和區和平街21之1號1、2樓,02-89423525,,
明安堂中醫診所,新北市中和區和平街2巷2弄2號,02-29448567,,
躍獅天晴藥局,新北市中和區和平街9號1樓,02-29491931,,
群芳藥局,新北市中和區和興里中興街73號1樓,02-22433729,,
誼安健業藥局,新北市中和區宜安路118巷20號1樓,02-86600058,,
晟恩診所,新北市中和區宜安路120號,02-86609911,,
景揚牙醫診所,新北市中和區宜安路123號1、2樓,02-29452055,,
永安眼科診所,新北市中和區宜安路129號1樓,02-29490178,,
哈佛牙醫診所,新北市中和區宜安路138號1樓,02-29288480,,
正宏堂中醫診所,新北市中和區宜安路140號1樓,02-29211351,,
藥聯藥師藥局,新北市中和區宜安路143號1樓,02-29481198,,
詹錫彥中醫診所,新北市中和區宜安路159號,02-29453592,,
宜安健康人生藥局,新北市中和區宜安路162號1樓,02-29224648,,
元隆堂中醫診所,新北市中和區宜安路19號,02-29417504,,
捷安居家護理所,新北市中和區宜安路23巷14號3樓,02-86680987,,
亮安藥局,新北市中和區宜安路2號,02-29469898,,
奕采藥局,新北市中和區宜安路77號1樓,02-29429770,,
湛美牙醫診所,新北市中和區宜安路98號1樓、2樓,02-29215000,,
幸福連鎖藥局,新北市中和區忠孝街122號1樓,02-29410771,,
東大牙醫診所,新北市中和區忠孝街126號－1,02-29484249,,
茂榕牙醫診所,新北市中和區忠孝街3－2號,02-86685166,,
博健藥局,新北市中和區忠孝街37巷4號,02-29402107,,
益德診所,新北市中和區忠孝街75號1樓,02-86688421,,
立穎居家護理所,新北市中和區忠孝街77巷4號1樓,02-86686651,,
富邦中醫診所,新北市中和區忠孝街85號1樓,02-29487720,,
新雅牙醫診所,新北市中和區忠孝路99號,02-29408432,,
永正牙醫診所,新北市中和區明仁街14、16號1樓,02-29403144,,
微星科技股份有限公司附設醫務室,新北市中和區板南路488號6樓,02-32345599,,
揚昇牙醫診所,新北市中和區信義街8號2樓,02-29443679,,
進安中醫診所,新北市中和區保平路356、358號1樓,02-22485986,,
華泰牙醫診所,新北市中和區保健路23號,02-29418546,,
元慶中醫診所,新北市中和區保健路27－4號,02-29491011,,
邱牙醫診所,新北市中和區南山路10號,02-22490038,,
慈光藥局,新北市中和區南山路117號,02-22407700,,
鴻宜牙醫診所,新北市中和區南山路160號,02-22459088,,
國耀中醫診所,新北市中和區南山路166號,02-29465157,,
聯慶牙醫診所,新北市中和區南山路16號2樓,02-22494338,,
宏軒牙醫診所,新北市中和區南山路174之1號1樓,02-29471777,,
永峰牙醫診所,新北市中和區南山路213號,02-22494628,,
朝安診所,新北市中和區南山路27之1號（1樓及夾層）,02-22493353,,
安泰大藥局,新北市中和區南山路35號1樓,02-82459423,,
衛生福利部八里療養院附設中和社區復健中心,新北市中和區南山路4巷3號5樓,02-22469893,,
廣仁醫事檢驗所,新北市中和區南山路65號,02-22400232,,
康乃馨中醫診所,新北市中和區南華路18號1樓,02-22421052,,
九崧藥局,新北市中和區南華路20號1樓,02-22451379,,
馮泰龍小兒科診所,新北市中和區南華路21號,02-82421606,,
詠邑藥局,新北市中和區南華路43號1樓,02-22445630,,
昱軒牙醫診所,新北市中和區南華路45號,02-22438499,,
晶漾牙醫診所,新北市中和區南華路67之1號1樓及1樓夾層,02-22490680,,
醫品診所,新北市中和區建一路136之1號（1樓）,02-22258518,,
台灣優品醫事檢驗所,新北市中和區建一路136號1樓,02-22258380,,
佳欣牙醫診所,新北市中和區建一路148號2樓,02-22233089,,
劍橋診所,新北市中和區建一路150號9樓之4,02-82263730,,
迪康牙醫診所,新北市中和區建一路1號1樓,02-22288789,,
鈦和牙醫診所,新北市中和區建康路156號2樓及158號2樓,02-82276797,,
全品牙醫診所,新北市中和區員山路112號,02-82214053,,
如美牙醫診所,新北市中和區員山路130號,02-22220087,,
虹佳牙醫診所,新北市中和區員山路138號,02-22210268,,
國新藥局,新北市中和區員山路146－4號,02-22212322,,
王作仁診所,新北市中和區員山路150－15號1樓,02-22257222,,
良明醫事檢驗所,新北市中和區員山路150－26號,02-22224608,,
詠安藥局,新北市中和區員山路150之8號1樓,02-22231606,,
培敦中醫診所,新北市中和區員山路168號1樓,02-22216067,,
杏元藥局,新北市中和區員山路172號1樓,02-22236868,,
大眾中醫診所,新北市中和區員山路176號,02-22266680,,
中禾堂中醫診所,新北市中和區員山路187號1樓,02-22230505,,
十方牙醫診所,新北市中和區員山路197號,02-22227345,,
民樂健保藥局,新北市中和區員山路226巷3弄5號1樓,02-22228999,,
林承德牙醫診所,新北市中和區員山路244號,02-22217272,,
里安藥局,新北市中和區員山路271－1號2樓,02-32347111,,
溫莎藥局,新北市中和區員山路292號,02-82277275,,
佳美牙醫診所,新北市中和區員山路299號1樓、2樓,02-22211549,,
容華牙醫診所,新北市中和區員山路315號1樓,02-22251619,,
辰安耳鼻喉科診所,新北市中和區員山路317號1樓,02-22211211,,
銓家藥局,新北市中和區員山路319號1-2樓,02-22257728,,
家嘉藥局,新北市中和區員山路377號,02-82281388,,
馨悅牙醫診所,新北市中和區員山路398號1樓,02-22289662,,
潤泰中醫診所,新北市中和區員山路409號1樓、411號1樓,02-22258938,,
申一中醫診所,新北市中和區員山路460號1樓,02-82216711,,
榮記大藥局,新北市中和區員山路482號1樓,02-22239546,,
康橋牙醫診所,新北市中和區員山路485號1．2樓,02-82276995,,
合安牙醫診所,新北市中和區泰和街12號1樓,02-22436878,,
澄品中醫診所,新北市中和區泰和街2號1樓2樓,02-22462256,,
田邊藥局,新北市中和區泰和街43號1樓,02-22407725,,
德泰診所,新北市中和區泰和街48號1樓及2樓,02-22427700,,
漢唐中醫診所,新北市中和區捷運路125號1樓,02-89417376,,
元真堂中醫診所,新北市中和區捷運路149號1樓,02-29452985,,
全聯中和南勢角藥局,新北市中和區捷運路37號1樓,02-86687552,,
信毅藥局,新北市中和區捷運路56號1樓,02-29423663,,
琇品牙醫診所,新北市中和區捷運路89號1樓、91號1樓、93號1樓,02-29438383,,
宜佑中醫診所,新北市中和區莒光路113號1樓,02-22218976,,
天立藥局,新北市中和區莒光路122號,02-29578831,,
躍獅康銓藥局,新北市中和區莒光路146號1樓,02-29646452,,
皇家家醫診所,新北市中和區莒光路148號1樓,02-29595938,,
悠活牙醫診所,新北市中和區莒光路152-1號1樓,02-89512722,,
刁仁杰中醫診所,新北市中和區莒光路155號1樓,02-22227562,,
天仁牙醫診所,新北市中和區莒光路157號,02-22230955,,
常榮中醫診所,新北市中和區莒光路2號1樓、2之1號2樓、4號1樓及4之1號,02-29578260,,
東鴻牙醫診所,新北市中和區莒光路45號1、2樓,02-22255488,,
宜生藥局,新北市中和區莊敬路33巷3弄2號,02-22490159,,
杏安藥局,新北市中和區莊敬路35號1樓,02-22430281,,
冠品藥師藥局,新北市中和區連城路119號1樓,02-22452129,,
連城實和復健診所,新北市中和區連城路168號1樓,02-22451212,,
怡翔牙醫診所,新北市中和區連城路19號1樓,02-82451808,,
鼎爵牙醫診所,新北市中和區連城路286號1樓,02-82212997,,
福星中醫診所,新北市中和區連城路316號,02-22236609,,
立健藥局,新北市中和區連城路317號1樓,02-22230614,,
聖欣牙醫診所,新北市中和區連城路350號1樓,02-32349720,,
正陽藥師藥局,新北市中和區連城路354號1樓,02-82287336,,
欣大藥局,新北市中和區連城路372之3號1樓,02-22217036,,
臻美牙醫診所,新北市中和區連城路471號1、2、3樓,02-22260038,,
精美牙醫診所,新北市中和區連城路471號1、2、3樓,02-22260038,,
達運牙醫診所,新北市中和區連城路471號1樓、2樓、3樓,02-22260038,,
芳碩藥局,新北市中和區連城路47巷2號1樓,02-82458816,,
好家人診所,新北市中和區連城路481、481之1號,02-22263610,,
健暉藥局,新北市中和區連城路487號1樓,02-22231437,,
中和光田藥局,新北市中和區連城路48號,02-22459602,,
亞都診所,新北市中和區連城路5號,02-22423090,,
智上牙醫診所,新北市中和區連城路76號,02-22481038,,
里昂牙醫診所,新北市中和區連城路89巷7-5號〈第一層、第二層〉,02-82456785,,
伍牙醫診所,新北市中和區復興路25號1樓,02-29414750,,
聖安診所,新北市中和區復興路260號1樓,02-22460059,,
威宏藥局,新北市中和區復興路262號,02-22458558,,
雙和牙醫診所,新北市中和區復興路271號,02-22455331,,
三越藥局,新北市中和區復興路277號1樓,02-22427215,,
和霖生活藥局,新北市中和區復興路289號1樓,02-22458227,,
永康診所,新北市中和區復興路290號,02-22420086,,
盈成牙醫診所,新北市中和區復興路306號,02-29422789,,
恩溢藥局,新北市中和區復興路79號1樓.2樓,02-22452450,,
禾欣牙醫診所,新北市中和區景平路116號1樓,02-29456008,,
永成藥局,新北市中和區景平路156號1樓,02-29407619,,
上元藥局,新北市中和區景平路160號2樓,02-29408050,,
誠美牙醫診所,新北市中和區景平路162號1、2樓,02-29400820,,
天安中醫診所,新北市中和區景平路225號1樓,02-29419764,,
金群牙醫診所,新北市中和區景平路240巷2弄1號1樓,02-29427000,,
景平外科診所,新北市中和區景平路335號,02-29428609,,
中安中醫診所,新北市中和區景平路360號,02-29415253,,
均潔牙醫診所,新北市中和區景平路363號1、2樓,02-82451825,,
景平牙醫診所,新北市中和區景平路377號,02-22471415,,
尚恩牙醫診所,新北市中和區景平路429－1號1，2樓,02-22486622,,
成合藥局,新北市中和區景平路429之2號1樓,02-22483605,,
三大中醫診所,新北市中和區景平路452號1樓,02-29479977,,
連城外科診所,新北市中和區景平路461號,02-22492360,,
長安堂中醫診所,新北市中和區景平路487號,02-22438089,,
中和明師中醫診所,新北市中和區景平路497號、499號1樓、499－1號2樓,02-22493788,,
菁英牙醫診所,新北市中和區景平路524號,02-82423466,,
福雄藥局,新北市中和區景平路540號,02-22499894,,
景安現代中醫診所,新北市中和區景平路558號1樓,02-22403600,,
和安牙醫診所,新北市中和區景平路559號1樓,02-22424929,,
慶恩牙醫診所,新北市中和區景平路572號,02-22474093,,
